source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
KEGG,KEGG:04610,Complement and coagulation cascades,2.6950924190528124e-26,True,Complement and coagulation cascades,86,15,14,8716,0.9333333333333333,0.16279069767441862,query_1,['KEGG:00000']
GO:BP,GO:0006956,complement activation,8.527778614854367e-26,True,"""Any process involved in the activation of any of the steps of the complement cascade, which allows for the direct killing of microbes, the disposal of immune complexes, and the regulation of other immune processes; the initial steps of complement activation involve one of three pathways, the classical pathway, the alternative pathway, and the lectin pathway, all of which lead to the terminal complement pathway."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",62,15,12,20972,0.8,0.1935483870967742,query_1,"['GO:0002252', 'GO:0002253', 'GO:0006959']"
REAC,REAC:R-HSA-977606,Regulation of Complement cascade,4.631149185566205e-23,True,Regulation of Complement cascade,101,15,13,11056,0.8666666666666667,0.12871287128712872,query_1,['REAC:R-HSA-166658']
REAC,REAC:R-HSA-166658,Complement cascade,1.7013867763638106e-22,True,Complement cascade,111,15,13,11056,0.8666666666666667,0.11711711711711711,query_1,['REAC:R-HSA-168249']
GO:BP,GO:0050778,positive regulation of immune response,3.776406694415553e-19,True,"""Any process that activates or increases the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",775,15,15,20972,1.0,0.01935483870967742,query_1,"['GO:0002684', 'GO:0006955', 'GO:0048584', 'GO:0050776']"
GO:BP,GO:0002253,activation of immune response,2.5882632099018402e-18,True,"""Any process that initiates an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",581,15,14,20972,0.9333333333333333,0.024096385542168676,query_1,"['GO:0002376', 'GO:0050778']"
GO:BP,GO:0006959,humoral immune response,9.82367903936555e-18,True,"""An immune response mediated through a body fluid."" [GOC:hb, ISBN:0198506732]",271,15,12,20972,0.8,0.04428044280442804,query_1,['GO:0006955']
GO:BP,GO:0050776,regulation of immune response,1.1248439777180575e-17,True,"""Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",970,15,15,20972,1.0,0.015463917525773196,query_1,"['GO:0002682', 'GO:0006955', 'GO:0048583']"
GO:BP,GO:0002252,immune effector process,4.386600835318407e-17,True,"""Any process of the immune system that executes a component of an immune response. An effector immune process takes place after its activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",710,15,14,20972,0.9333333333333333,0.01971830985915493,query_1,['GO:0002376']
GO:BP,GO:0002684,positive regulation of immune system process,8.734735524382367e-17,True,"""Any process that activates or increases the frequency, rate, or extent of an immune system process."" [GOC:add]",1111,15,15,20972,1.0,0.013501350135013501,query_1,"['GO:0002376', 'GO:0002682', 'GO:0048518']"
